Site,238 Chad Baker,Acorn and Hwy 44,East St. John the Baptist High School,Fifth Ward Elementary School,Levee,Ochsner Hospital
4/8/2017,17.337,0.925,3.199,13.747,27.91,1.052
4/11/2017,9.031,0.037,0.294,3.845,0.037,0.037
4/14/2017,28.309,0.037,1.349,51.141,12.55,0.218
4/17/2017,18.353,0.037,1.531,17.555,0.12,0.276
4/20/2017,8.614,0.037,0.381,7.617,0.319,0.109
4/23/2017,0.765,0.88,0.102,0.037,10.555,0.232
4/26/2017,0.037,0.037,7.581,0.037,0.037,0.239
4/29/2017,0.037,0.037,2.247,0.037,0.037,0.037
5/2/2017,9.938,11.534,6.601,4.643,9.902,17.591
5/5/2017,0.037,2.807,0.037,0.037,0.154,0.312
5/8/2017,0.508,10.954,0.297,0.303,9.684,14.871
5/11/2017,0.729,0.254,2.392,0.037,0.037,0.247
5/14/2017,0.037,0.037,0.037,0.037,1.217,0.037
5/17/2017,0.037,0.037,0.102,0.037,0.037,0.037
5/20/2017,0.037,0.037,0.037,0.037,0.037,0.037
5/23/2017,0.098,0.037,0.037,0.037,0.037,0.037
5/26/2017,0.037,0.037,0.037,0.037,0.037,0.163
5/29/2017,0.395,0.134,0.319,0.323,1.483,0.725
6/1/2017,7.834,0.214,0.109,2.057,0.366,0.102
6/4/2017,2.568,0.943,2.597,0.116,0.479,0.751
6/7/2017,0.827,0.037,0.037,1.179,5.586,0.037
6/10/2017,20.783,0.037,0.91,6.275,0.037,0.037
6/13/2017,28.672,0.037,1.589,0.823,0.037,0.758
6/16/2017,0.037,4.824,0.037,0.037,0.037,36.071
6/19/2017,26.659,2.593,1.629,10.736,7.762,2.474
6/22/2017,0.176,0.037,4.425,0.037,0.037,0.037
6/25/2017,11.788,7.345,0.609,11.824,13.928,0.384
6/28/2017,46.789,0.037,2.14,6.601,0.199,0.037
7/1/2017,0.037,0.167,0.037,0.037,0.037,4.498
7/4/2017,0.037,0.279,0.037,0.037,0.037,6.057
7/7/2017,1.422,6.492,0.31,1.654,2.677,0.943
7/10/2017,0.152,8.288,0.083,4.207,34.167,0.334
7/13/2017,4.933,2.397,0.878,3.7,2.815,1.172
7/16/2017,4.643,5.042,2.987,2.089,5.876,11.171
7/19/2017,1.578,3.551,0.9,3.351,3.808,5.513
7/22/2017,5.114,13.928,0.941,10.156,7,2.02
7/25/2017,0.037,0.91,0.345,0.037,0.744,2.731
7/28/2017,0.037,2.428,0.037,0.037,0.087,9.14
7/31/2017,4.28,0.037,0.037,1.705,2.927,0.037
8/3/2017,14.49,0.037,0.493,5.549,0.892,0.037
